"C","0107537001552","00000",""
"H","T03","ใบส่งของและใบกำกับภาษี","1312212479","2022-12-01T09:37:39","","","","","","","","1122218225","2022-12-01T08:10:39","","","","","","","","","00000","","","","Y"
"B","1110000001","บริษัท ไอ.ซี.ซี อินเตอร์เนชั่นแนล จ","TXID","0107537001374","00000","","","","","10120","","","เลขที่ 530 ซอย สาธุประดิษฐ์ 58  แขวงบางโพงพาง","เขตยานนาวา จังหวัด กรุงเทพมหานคร 10120","","","","","","","","","","","TH"
"L","6","1BM05M704S2CNV30 MHBM704S2CSNV30","MEN'S SHORT PANTS","","","","","","","380.00","THB","","","","","","1","","","VAT","7.00","406.60","THB","26.60","THB","","0.00","THB","","","26.60","THB","380.00","THB","406.60","THB","","ชิ้น","","","","","","","",""
"L","7","1BM05M704S2CNV32 MHBM704S2CSNV32","MEN'S SHORT PANTS","","","","","","","380.00","THB","","","","","","2","","","VAT","7.00","406.60","THB","26.60","THB","","0.00","THB","","","53.20","THB","760.00","THB","813.20","THB","","ชิ้น","","","","","","","",""
"L","8","1BM05M704S2CNV34 MHBM704S2CSNV34","MEN'S SHORT PANTS","","","","","","","380.00","THB","","","","","","2","","","VAT","7.00","406.60","THB","26.60","THB","","0.00","THB","","","53.20","THB","760.00","THB","813.20","THB","","ชิ้น","","","","","","","",""
"L","9","1BM05M704S2CNV36 MHBM704S2CSNV36","MEN'S SHORT PANTS","","","","","","","380.00","THB","","","","","","2","","","VAT","7.00","406.60","THB","26.60","THB","","0.00","THB","","","53.20","THB","760.00","THB","813.20","THB","","ชิ้น","","","","","","","",""
"F","22","","","VAT","7.00","95115.65","THB","6658.10","THB","","","","","","","","","","","","","","","","","","","false","","THB","","","","","","","","95115.65","THB","","","0.00","THB","","","95115.65","THB","6658.10","THB","101773.75","THB","60 วัน","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H","T03","ใบส่งของและใบกำกับภาษี","1312212480","2022-12-01T09:38:04","","","","","","","","1122218226","2022-12-01T08:10:46","","","","","","","","","00000","","","","Y"
"B","1110000001","บริษัท ไอ.ซี.ซี อินเตอร์เนชั่นแนล จ","TXID","0107537001374","00000","","","","","10120","","","เลขที่ 530 ซอย สาธุประดิษฐ์ 58  แขวงบางโพงพาง","เขตยานนาวา จังหวัด กรุงเทพมหานคร 10120","","","","","","","","","","","TH"
"L","1","1CM26C516W2CBLL1S MPCC516W2CSBLL1","MEN POLO","","","","","","","700.00","THB","","","","","","7","","","VAT","7.00","749.00","THB","49.00","THB","","0.00","THB","","","343.00","THB","4900.00","THB","5243.00","THB","","ชิ้น","","","","","","","",""
"L","2","1CM26C516W2CBLM1S MPCC516W2CSBLM1","MEN POLO","","","","","","","700.00","THB","","","","","","7","","","VAT","7.00","749.00","THB","49.00","THB","","0.00","THB","","","343.00","THB","4900.00","THB","5243.00","THB","","ชิ้น","","","","","","","",""
"L","3","1CM26C516W2CBLX1S MPCC516W2CSBLX1","MEN POLO","","","","","","","700.00","THB","","","","","","4","","","VAT","7.00","749.00","THB","49.00","THB","","0.00","THB","","","196.00","THB","2800.00","THB","2996.00","THB","","ชิ้น","","","","","","","",""
"L","4","1CM26C516W2CWHL1S MPCC516W2CSWHL1","MEN POLO","","","","","","","700.00","THB","","","","","","7","","","VAT","7.00","749.00","THB","49.00","THB","","0.00","THB","","","343.00","THB","4900.00","THB","5243.00","THB","","ชิ้น","","","","","","","",""
"L","5","1CM26C516W2CWHM1S MPCC516W2CSWHM1","MEN POLO","","","","","","","700.00","THB","","","","","","7","","","VAT","7.00","749.00","THB","49.00","THB",""
